ID:10953; Nombre:PEDIALYTE MZN SOL 500ML        ; Lab:ABBOTT    ; Precio:31.62; Costo:15.78; Descuento:30; Componente:GLUCOSA MONOHIDRATADA-CLORURO DE SODIO-CITRATO DE POTASIO
ID:320445; Nombre:PEDIASURE PLUS INF FRESA PVO 400GN ; Lab:ABBOTT    ; Precio:335.4; Costo:223.47; Descuento:15; Componente:NO ESPECIFICADO
ID:329152; Nombre:PEDIASURE-PLUS VAINILLA PVO 900G   ; Lab:ABBOTT    ; Precio:725.41; Costo:460.27; Descuento:15; Componente:NO ESPECIFICADO
ID:341646; Nombre:PEDIASURE PLUS INF CHOCOLAT 237ML  ; Lab:ABBOTT    ; Precio:39; Costo:51.06; Descuento:0; Componente:NO ESPECIFICADO
ID:341647; Nombre:PEDIASURE PLUS INF FRESA 237 ML    ; Lab:ABBOTT    ; Precio:39; Costo:51.06; Descuento:0; Componente:NO ESPECIFICADO
ID:343443; Nombre:MONTIPEDIA 5MG TAB MAST 30         ; Lab:PISA      ; Precio:438.9; Costo:371.29; Descuento:25; Componente:MONTELUKAST
ID:355519; Nombre:M.V.I. 12 PEDIATRICO INY.  C/1; Lab:LOGVALEANT; Precio:145.47; Costo:118.54; Descuento:0; Componente:VITAMINAS
ID:360079; Nombre:LIPOVITASI NF SOL. PEDIATRICA 10 G./100 ML. C/120 ML.; Lab:LOGVALEANT; Precio:277.39; Costo:226.02; Descuento:0; Componente:LEVOCARNITINA
ID:360196; Nombre:CLAVUSER 12H PEDIATRICA SUSP. 200 MG./28.5 MG./5 ML. C/40 ML.; Lab:LAKESIDE  ; Precio:116.58; Costo:82.77; Descuento:0; Componente:AMOXICILINA-ACIDO CLAVULANICO
ID:365040; Nombre:PARACETAMOL PEDIATRICO SOL. GOTAS 100 MG./1 ML. C/30 ML.; Lab:ULTRA T-28 %; Precio:92.4; Costo:30.8; Descuento:0; Componente:PARACETAMOL
ID:365258; Nombre:RODOVIT PEDIATRICO SOL. GOTAS.  C/15 ML.; Lab:ALLEN T- 35 %; Precio:78; Costo:26; Descuento:0; Componente:VITAMINAS
ID:365354; Nombre:SOLURAL PEDIATRICO FRESA SOL.  C/300 ML., C/24; Lab:AMSA SOLURAL P. NETO; Precio:224.95; Costo:74.98; Descuento:0; Componente:ELECTROLITOS ORALES
ID:365355; Nombre:SOLURAL PEDIATRICO MANZANA SOL.  C/300 ML., C/24; Lab:AMSA SOLURAL P. NETO; Precio:224.95; Costo:74.98; Descuento:0; Componente:ELECTROLITOS ORALES
ID:365356; Nombre:SOLURAL PEDIATRICO UVA SOL.  C/300 ML., C/24; Lab:AMSA SOLURAL P. NETO; Precio:224.95; Costo:74.98; Descuento:0; Componente:ELECTROLITOS ORALES
ID:365430; Nombre:TEMPERAL PEDIATRICO SOL. GOTAS 100 MG./1 ML. C/20 ML.; Lab:ALLEN T- 35 %; Precio:40; Costo:13.33; Descuento:0; Componente:PARACETAMOL
ID:365737; Nombre:COBADEX SOL. PEDIATRICA 4 MG./4 MG./1 ML. C/30 ML.; Lab:MAVER T- 38 %; Precio:60; Costo:20; Descuento:0; Componente:AMBROXOL-DEXTROMETORFANO
